job,link,time,price,bid,status
Make a Custom Computer Board,https://www.freelancer.com/projects/pcb-design-and-layout/make-custom-computer-board/,6 days left,$525,2 bids,
Need help writing the code for a GDL object in ArchiCAD,https://www.freelancer.com/projects/coding/need-help-writing-the-code/,15 hours left,$42 / hr,2 bids,VERIFIED
Video Download Scritp,https://www.freelancer.com/projects/php/video-download-scritp/,18 hours left,$13,2 bids,
MySQL based Site (on Joomla) with graphical output.,https://www.freelancer.com/projects/joomla/mysql-based-site-joomla-with/,23 hours left,$41,2 bids,
Email Template for Mailwizz,https://www.freelancer.com/projects/mailwizz/email-template-for-mailwizz/,18 hours left,$8,2 bids,VERIFIED
Convert HLSL shader to Amplify or Shaderforge -- 5,https://www.freelancer.com/projects/unity-three-d/convert-hlsl-shader-amplify-shaderforge-28315355/,2 days left,$231,2 bids,VERIFIED
EIN Number for US LLC,https://www.freelancer.com/projects/tax-accounting/ein-number-for-llc/,8 hours left,$20,2 bids,VERIFIED
Business Development in Vancouver,https://www.freelancer.com/projects/business-analysis/business-development-vancouver/,Ended,$4000,2 bids,
Tip for using VPS windows from a mac,https://www.freelancer.com/projects/macos/tip-for-using-vps-windows/,3 days left,$6 / hr,2 bids,VERIFIED
Field Sales,https://www.freelancer.com/projects/sales/field-sales-28337520/,4 days left,$12,2 bids,
Integrate camera by UVC standard in android,https://www.freelancer.com/projects/android/integrate-camera-uvc-standard-android/,1 day left,$140,2 bids,
Queue-It workaround,https://www.freelancer.com/projects/javascript/queue-workaround/,3 days left,$140,2 bids,
Help Me Come Up with A Plan For My Project,https://www.freelancer.com/projects/linux/help-come-with-plan-for/,2 days left,$105,2 bids,
I'm looking for a node.js cloack expert,https://www.freelancer.com/projects/nodejs/looking-for-node-cloack-expert/,5 days left,$20,2 bids,VERIFIED
Professional photos of a Steinway grand piano needed,https://www.freelancer.com/projects/internet-marketing/professional-photos-steinway-grand-piano/,5 days left,$120,2 bids,
Painless Glucometer,https://www.freelancer.com/projects/mobile-phone/painless-glucometer/,5 days left,$1267,2 bids,
drone and auto piloting project -- 2,https://www.freelancer.com/projects/python/drone-auto-piloting-project-28364702/,6 days left,$325,2 bids,VERIFIED
Looking for Adobe experience Manager(AEM) developer,https://www.freelancer.com/projects/adobe-experience-manager/looking-for-adobe-experience-manager-28333115/,3 days left,$473,2 bids,
WIX CORVID,https://www.freelancer.com/projects/website-design/wix-corvid-28289125/,12 hours left,$35,2 bids,
Component Barcode EAN/ PDF417/QR Reader in React,https://www.freelancer.com/projects/react-js/component-barcode-ean-pdf-reader/,6 days left,$170,2 bids,
Instant or 7 day GMB verification Method,https://www.freelancer.com/projects/google-maps-api/instant-day-gmb-verification-method/,5 days left,$625,2 bids,VERIFIED
Need A Fiverr.com Like Website,https://www.freelancer.com/projects/php/need-fiverr-com-like-website/,6 days left,$4 / hr,2 bids,
Sports betting  -- 2,https://www.freelancer.com/projects/data-processing/sports-betting-28370211/,6 days left,$712,2 bids,
Write and Publish Wikipedia Page for Public Figure,https://www.freelancer.com/projects/wikipedia/write-publish-wikipedia-page-for-28364020/,6 days left,$765,2 bids,VERIFIED
Need marathi content writer for new technical blog,https://www.freelancer.com/projects/copywriting/need-marathi-content-writer-for/,6 days left,$11,2 bids,
Razorpay Payment gateway add in web,https://www.freelancer.com/projects/graphic-design/razorpay-payment-gateway-add-web/,6 days left,$28,2 bids,VERIFIED
Dialer Configuration For Qubicles.io Contact Center configuration,https://www.freelancer.com/projects/web-api/dialer-configuration-for-qubicles/,8 hours left,$65,2 bids,VERIFIED
Automate online task with zennoposter or another,https://www.freelancer.com/projects/software-architecture/automate-online-task-with-zennoposter/,9 hours left,$195,2 bids,
Consulting on Azure Serves and Integration with Azure AD,https://www.freelancer.com/projects/azure/consulting-azure-serves-integration-with/,1 day left,$14 / hr,2 bids,VERIFIED
Digital marketing  -- 2,https://www.freelancer.com/projects/brand-marketing/digital-marketing-28299216/,1 day left,$220,2 bids,
Punjabi transcription,https://www.freelancer.com/projects/transcription/punjabi-transcription-28304036/,1 day left,$6 / hr,2 bids,
Need OFBiz developer on urgent basis,https://www.freelancer.com/projects/javascript/need-ofbiz-developer-urgent-basis/,2 days left,$558,2 bids,VERIFIED
RSR5 Scheme Language,https://www.freelancer.com/projects/computer-science/rsr-scheme-language/,2 days left,$57,2 bids,VERIFIED
set up apple pay on my website for mobiles.,https://www.freelancer.com/projects/amazon-web-services/set-apple-pay-website-for/,3 days left,$47,2 bids,VERIFIED
I need someone to build an app for my website.,https://www.freelancer.com/projects/android/need-someone-build-app-for/,4 days left,$5500,2 bids,
Promotion and product photographer needed,https://www.freelancer.com/projects/photo-editing/promotion-product-photographer-needed/,3 days left,$40 / hr,2 bids,
Chrome Plugin,https://www.freelancer.com/projects/google-chrome/chrome-plugin-28369012/,6 days left,$650,2 bids,VERIFIED
"Shopify Plus + Free Shipping issue (using Script Editor, must be fluent in Ruby)",https://www.freelancer.com/projects/ruby/shopify-plus-free-shipping-issue/,1 day left,$25,2 bids,VERIFIED
Vast server ads,https://www.freelancer.com/projects/nodejs/vast-server-ads/,1 day left,$58,2 bids,
UI design for Virtual Reality for Unity project on Oculus like controller,https://www.freelancer.com/projects/unity-three-d/design-for-virtual-reality-for/,2 days left,$135,2 bids,VERIFIED
Project for Abhishek,https://www.freelancer.com/projects/php/project-for-abhishek-28331179/,3 days left,$3 / hr,2 bids,
Looking for flutter and wordpress backed developer (apis) -- 2,https://www.freelancer.com/projects/php/looking-for-flutter-wordpress-backed-28331076/,3 days left,$15,2 bids,
"can install the vandesta sso sdk, is this something you can do?",https://www.freelancer.com/projects/java/can-install-the-vandesta-sso/,1 day left,$95,2 bids,
Graphic Art for B2B Projects,https://www.freelancer.com/projects/graphic-design/graphic-art-for-projects/,13 hours left,$5999,2 bids,
Investigation,https://www.freelancer.com/projects/google-earth/investigation/,1 day left,$40,2 bids,
Agora live video api project part 2,https://www.freelancer.com/projects/php/agora-live-video-api-project/,4 days left,$5 / hr,2 bids,VERIFIED
Client database searching,https://www.freelancer.com/projects/market-research/client-database-searching/,6 days left,$20,2 bids,
Looking for Admob and Facebook Audience Network expert to help solve monetization issues,https://www.freelancer.com/projects/facebook-marketing/looking-for-admob-facebook-audience/,6 days left,$541,2 bids,
perl to convert python -- 2,https://www.freelancer.com/projects/php/perl-convert-python/,6 days left,$27,2 bids,
Optitex Software Designer,https://www.freelancer.com/projects/threed-modelling/optitex-software-designer-28313137/,2 days left,$12 / hr,2 bids,VERIFIED
Fanatic Sports Writers Needed,https://www.freelancer.com/projects/articles/fanatic-sports-writers-needed/,3 days left,$7750,2 bids,
Mobile App for IOS and Android,https://www.freelancer.com/projects/local-job/mobile-app-for-ios-android/,2 days left,$850,2 bids,VERIFIED
Inline CSS - HTML Contest - ShortCodes:  Simple Invoice Page,https://www.freelancer.com/contest/inline-css-html-contest-shortcodes-simple-invoice-page-1855295.html,6 days left,$30,2 entries,
Configure Facebook Pixel on Weebly Site,https://www.freelancer.com/projects/javascript/configure-facebook-pixel-weebly-site/,6 days left,$43,2 bids,VERIFIED
Javascript expret required with graphics knowledge,https://www.freelancer.com/projects/javascript/javascript-expret-required-with-graphics/,6 days left,$11,2 bids,VERIFIED
java_project_12,https://www.freelancer.com/projects/java/java-project-28373209/,6 days left,$6 / hr,2 bids,
Need to fix recursive issue in mips,https://www.freelancer.com/projects/cplusplus-programming/need-fix-recursive-issue-mips/,10 hours left,$17,2 bids,
YouTube sub4sub android and ios app,https://www.freelancer.com/projects/android/youtube-sub-sub-android-ios/,1 day left,$152,2 bids,
Communicate betweeb 1 MSP432 boards using FREERTOS,https://www.freelancer.com/projects/c-programming/communicate-betweeb-msp-boards-using/,1 day left,$135,2 bids,VERIFIED
Vitamins Distributor,https://www.freelancer.com/projects/product-sourcing/vitamins-distributor/,8 hours left,$37,2 bids,VERIFIED
Enigma2 plugin Developer  -- 3,https://www.freelancer.com/projects/php/enigma-plugin-developer-28315252/,2 days left,$145,2 bids,VERIFIED
Crowdfunding assistant for fundraising,https://www.freelancer.com/projects/crowdfunding/crowdfunding-assistant-for-fundraising/,1 day left,$22 / hr,2 bids,VERIFIED
kafka mongodb integration,https://www.freelancer.com/projects/kubernetes/kafka-mongodb-integration/,10 hours left,$81,2 bids,
Need Architect of Record,https://www.freelancer.com/projects/building-architecture/need-architect-record/,1 day left,$1187,2 bids,
For amazon gift card purchasing,https://www.freelancer.com/projects/software-architecture/for-amazon-gift-card-purchasing/,3 days left,$786,2 bids,
We need tax account,https://www.freelancer.com/projects/tax/need-tax-account/,2 days left,$23 / hr,2 bids,
Marriage Gifting,https://www.freelancer.com/projects/creative-design/marriage-gifting/,3 days left,$131,2 bids,
GSM Gateway sms api configuration (Vicidial) Vicibox 9.03,https://www.freelancer.com/projects/asterisk-pbx/gsm-gateway-sms-api-configuration/,3 days left,$101,2 bids,
"jetson/py- board, raspi, arduino and autonomous piloting on land and air -- 3",https://www.freelancer.com/projects/python/jetson-board-raspi-arduino-autonomous-28325273/,3 days left,$181,2 bids,VERIFIED
Convert google collab code into web app through Anvil works,https://www.freelancer.com/projects/app-developer/convert-google-collab-code-into/,4 days left,$23,2 bids,
need 1 lesson on real-time video recognition for online game Burraco  -- 2,https://www.freelancer.com/projects/python/need-lesson-real-time-video-28352828/,5 days left,$170,2 bids,
Website modification project for Fururesque Comms,https://www.freelancer.com/projects/business-analytics/website-modification-project-for/,5 days left,$20,2 bids,
"New Freelancer, Java developer needed from Pakistan for some easy types work",https://www.freelancer.com/projects/java/new-freelancer-java-developer-needed/,5 days left,$7 / hr,2 bids,VERIFIED
Atomy-Network marketing,https://www.freelancer.com/projects/sales/atomy-network-marketing/,5 days left,$11,2 bids,
SUBJECT EXPERT IN REAL ESTATE VALUATION AND APPRAISAL who can do the calculations,https://www.freelancer.com/projects/accounting/subject-expert-real-estate-valuation/,6 days left,$37,2 bids,VERIFIED
HAProxy logging,https://www.freelancer.com/projects/linux/haproxy-logging/,1 day left,$32,2 bids,
I want to build a website using clickfunnels builder tool only,https://www.freelancer.com/projects/php/want-build-website-using-clickfunnels/,6 days left,$64,2 bids,
drone and auto piloting project,https://www.freelancer.com/projects/python/drone-auto-piloting-project/,4 days left,$325,2 bids,VERIFIED
MVP Develop,https://www.freelancer.com/projects/php/mvp-develop/,6 days left,$60,2 bids,
EMU8086 program,https://www.freelancer.com/projects/mysql/emu-program/,6 days left,$25,2 bids,VERIFIED
Front End developer,https://www.freelancer.com/projects/javascript/front-end-developer-28371915/,6 days left,$337,2 bids,
Research distributed file storage systems on linux on Azure,https://www.freelancer.com/projects/linux/research-distributed-file-storage/,2 days left,$208,2 bids,VERIFIED
need acoustic consultant,https://www.freelancer.com/projects/sound-design/need-acoustic-consultant/,2 days left,$12,2 bids,VERIFIED
"jetson/py- board, raspi, arduino and autonomous piloting on land and air -- 2",https://www.freelancer.com/projects/python/jetson-board-raspi-arduino-autonomous-28314903/,2 days left,$160,2 bids,VERIFIED
Looking for CTO,https://www.freelancer.com/projects/android/looking-for-cto/,1 day left,$635,2 bids,VERIFIED
multivariate statistics - R language expert....,https://www.freelancer.com/projects/statistics/multivariate-statistics-language-expert-28255320/,4 days left,$15 - $37,2 bids,
Perfex crm,https://www.freelancer.com/projects/crm/perfex-crm-28311991/,2 days left,$121,2 bids,
Teach me Blockchain technology in practical,https://www.freelancer.com/projects/blockchain/teach-blockchain-technology-practical/,13 hours left,$63,2 bids,
Integrate Payment Gateway in Angular App using PayPal,https://www.freelancer.com/projects/angular-js/integrate-payment-gateway-angular-app-28319222/,2 days left,$18,2 bids,
Tiktok promotion,https://www.freelancer.com/projects/sales-promotion/tiktok-promotion/,3 days left,$15,2 bids,
Looking for A sales call center for a profitable partnership,https://www.freelancer.com/projects/telemarketing/looking-for-sales-call-center/,2 days left,$27500,2 bids,
Translator needed for 3 month progect Valle De Cambra,https://www.freelancer.com/projects/translation/translator-needed-for-month-progect/,1 day left,$15 / hr,2 bids,
CTO App Developer Proposition,https://www.freelancer.com/contest/cto-app-developer-proposition-1852817.html,9 days left,$66,2 entries,
ipplayout cable TV software,https://www.freelancer.com/projects/dot-net/ipplayout-cable-software/,4 days left,$57,2 bids,
salesman..,https://www.freelancer.com/projects/internet-marketing/salesman-28338672/,4 days left,$122,2 bids,
GIVING ADVIVE,https://www.freelancer.com/projects/psychology/giving-advive/,4 days left,$5 / hr,2 bids,
Building an app,https://www.freelancer.com/projects/mobile-phone/building-app-28355692/,5 days left,$16,2 bids,
Whatsapp automation,https://www.freelancer.com/projects/mobile-phone/whatsapp-automation/,4 days left,$37,2 bids,VERIFIED
We need expert on Email Cleaning,https://www.freelancer.com/projects/php/need-expert-email-cleaning/,4 days left,$175,2 bids,
Help to find a manual for an specific tensile tester equipment,https://www.freelancer.com/projects/traditional-chinese-hong-kong/help-find-manual-for-specific/,6 days left,$85,2 bids,VERIFIED
perl to convert python,https://www.freelancer.com/projects/python/perl-convert-python/,6 days left,$15,2 bids,
Build distributors for B2B Platform,https://www.freelancer.com/projects/sales/build-distributors-for-platform/,6 days left,$49,2 bids,
developing a music promotion site,https://www.freelancer.com/projects/mobile-phone/developing-music-promotion-site/,5 days left,$4000,2 bids,
kannel expert,https://www.freelancer.com/projects/linux/kannel-expert-28365599/,6 days left,$405,2 bids,
"Game design (balance, character design and monetization)",https://www.freelancer.com/projects/game-design/game-design-balance-character-design/,6 days left,$2665,2 bids,
Build me a resume builder application,https://www.freelancer.com/projects/java/build-resume-builder-application/,6 days left,$41,2 bids,
Design a Website Mockup,https://www.freelancer.com/contest/design-a-website-mockup-1855351.html,2 days left,$100,2 entries,
C++ expert needed,https://www.freelancer.com/projects/cplusplus-programming/expert-needed-28291208/,15 hours left,$759,2 bids,
Open EDX Ubuntu Sandback Error,https://www.freelancer.com/projects/python/open-edx-ubuntu-sandback-error/,1 day left,$40,2 bids,VERIFIED
Arena simulation,https://www.freelancer.com/projects/arena-simulation-programming/arena-simulation-28304522/,1 day left,$305,2 bids,
Fortran expert to run my already built code.,https://www.freelancer.com/projects/perl/fortran-expert-run-already-built/,1 day left,$35,2 bids,
Rule 30 Cellular Automata using OpenCL,https://www.freelancer.com/projects/c-programming/rule-cellular-automata-using-opencl/,2 days left,$557,2 bids,
Client Manager - quick easy highpaying,https://www.freelancer.com/projects/sales/client-manager-quick-easy-highpaying/,1 day left,$8934,2 bids,VERIFIED
Kangen Water Machine Leads,https://www.freelancer.com/projects/leads/kangen-water-machine-leads/,2 days left,$35,2 bids,
Marketing a job guarantee technical training program with Industry Ready Certification,https://www.freelancer.com/projects/internet-marketing/marketing-job-guarantee-technical/,3 days left,$507,2 bids,
Looking for Expert Java Netbeans Developer,https://www.freelancer.com/projects/java/looking-for-expert-java-netbeans/,2 days left,$14,2 bids,VERIFIED
Solving School(K12)Problems,https://www.freelancer.com/projects/mobile-phone/solving-school-problems/,3 days left,$333,2 bids,
CREATE A WINDOWS PROGRAM TO CHANGE ALL BROWSERS DEFAULT HOMEPAGE TO A URL I SPECIFY,https://www.freelancer.com/projects/computer-science/create-windows-program-change-all/,3 days left,$17,2 bids,VERIFIED
Tellecaller,https://www.freelancer.com/projects/leads/tellecaller/,14 hours left,$202,2 bids,
Put premium ads on my Roku Channel,https://www.freelancer.com/projects/ad-planning-buying/put-premium-ads-roku-channel/,3 days left,$30,2 bids,VERIFIED
product seller,https://www.freelancer.com/projects/pinterest/product-seller/,4 days left,$22,2 bids,
Need female social media marketer for part time work from home,https://www.freelancer.com/projects/social-media-marketing/need-female-social-media-marketer/,4 days left,$11,2 bids,VERIFIED
l69etv40rwy,https://www.freelancer.com/projects/mobile-phone/etv-rwy/,6 hours left,$34,2 bids,
Iphone IOS 14.2 Jailbreak,https://www.freelancer.com/projects/iphone/iphone-ios-jailbreak/,4 days left,$450,2 bids,
Sales & Marketing Team,https://www.freelancer.com/projects/sales/sales-marketing-team-28339217/,4 days left,$1070,2 bids,
Wordpress Plugin Modification on Existing plugin,https://www.freelancer.com/projects/wordpress/wordpress-plugin-modification-existing/,5 days left,$20,2 bids,VERIFIED
Affiliate Marketer Needed,https://www.freelancer.com/projects/internet-marketing/affiliate-marketer-needed-28298361/,1 day left,$405,2 bids,VERIFIED
Xtreme affiliate page,https://www.freelancer.com/projects/php/xtreme-affiliate-page/,1 day left,$85,2 bids,
BUILD ME A MOBILE GAME APP,https://www.freelancer.com/projects/iphone/build-mobile-game-app-28353172/,5 days left,$639,2 bids,
VMware Subject Matter Expert with VCAP-NV Certification,https://www.freelancer.com/projects/vmware/vmware-subject-matter-expert-with/,4 days left,$200,2 bids,VERIFIED
RE: Android OS adjustment,https://www.freelancer.com/projects/android/android-adjustment/,5 days left,$160,2 bids,
Chrome macro,https://www.freelancer.com/projects/blog-install/chrome-macro/,6 days left,$140,2 bids,VERIFIED
Instagram viewer,https://www.freelancer.com/projects/php/instagram-viewer-28347840/,5 days left,$500,2 bids,VERIFIED
PSN Code Redeem,https://www.freelancer.com/projects/c-sharp-programming/psn-code-redeem/,6 days left,$425,2 bids,
Wikipedia Expert Needed,https://www.freelancer.com/projects/wikipedia/wikipedia-expert-needed-28369098/,6 days left,$315,2 bids,VERIFIED
Chrome Plugin,https://www.freelancer.com/projects/google-chrome/chrome-plugin-28369012/,6 days left,$650,2 bids,VERIFIED
"integração api, do meu fornecedor  para bling",https://www.freelancer.com/projects/php/integra-api-meu-fornecedor-para/,4 days left,$170,2 bids,
Global modernity and the Indian political.,https://www.freelancer.com/projects/legal-research/global-modernity-the-indian-political/,1 day left,$20,2 bids,
Increase WIX website performance -2,https://www.freelancer.com/projects/wix/increase-wix-website-performance-28341357/,4 days left,$101,2 bids,VERIFIED
We need expert on Email Cleaning -- 2,https://www.freelancer.com/projects/php/need-expert-email-cleaning-28342499/,4 days left,$632,2 bids,
Need technical solution to this upload and convert problem,https://www.freelancer.com/contest/need-technical-solution-to-this-upload-and-convert-problem-1853514.html,10 days left,$50,2 entries,
Programmer needed to Add Members From Excel File To Telegram Group,https://www.freelancer.com/projects/python/programmer-needed-add-members-from/,5 days left,$84,2 bids,
An OTP Login/Register Social Networking site like Parler.com the site should be hosted in EC2 with S3  -- 2,https://www.freelancer.com/projects/php/otp-login-register-social-networking-28355472/,5 days left,$22,2 bids,VERIFIED
Chart pattern scanner for stocks,https://www.freelancer.com/projects/amibroker-formula-language/chart-pattern-scanner-for-stocks/,5 days left,$117,2 bids,
Develop a CAD application add-in tool using C++ through SDS and IRX,https://www.freelancer.com/projects/cplusplus-programming/develop-cad-application-add-tool/,4 days left,$140,2 bids,
strnewrecord queries changing columns names  and create new report page vb.net web,https://www.freelancer.com/projects/sql/strnewrecord-queries-changing-columns/,4 days left,$30,2 bids,VERIFIED
Horovod and pytorch expert,https://www.freelancer.com/projects/pytorch/horovod-pytorch-expert/,4 days left,$148,2 bids,VERIFIED
billing app for my buiseness,https://www.freelancer.com/projects/cplusplus-programming/billing-app-for-buiseness/,5 days left,$67,2 bids,
Build Complete GPS Tracking App Ios & Android App,https://www.freelancer.com/projects/mobile-phone/build-complete-gps-tracking-app/,6 days left,$260,2 bids,VERIFIED
Shopify store setup -- 2,https://www.freelancer.com/projects/business-plans/shopify-store-setup/,1 day left,$30,2 bids,
iRedmail phpldapadmin install/connect/backup > migrate/restore to another machine.,https://www.freelancer.com/contest/iredmail-phpldapadmin-installconnectbackup-gt-migraterestore-to-another-machine-1770286.html,5 days left,$38,2 entries,
i need notes and recording unified modeling language,https://www.freelancer.com/projects/uml-design/need-notes-recording-unified-modeling/,6 days left,$23,2 bids,
Marketing & Sales Funnel Platform.,https://www.freelancer.com/projects/sales/marketing-sales-funnel-platform/,6 days left,$250,2 bids,
Basics of Obi4wan,https://www.freelancer.com/projects/website-design/basics-obi-wan/,6 days left,$25,2 bids,VERIFIED
Data Augmentation,https://www.freelancer.com/projects/statistics/data-augmentation/,6 days left,$29,2 bids,VERIFIED
"I need graphic design done for my website,",https://www.freelancer.com/contest/i-need-graphic-design-done-for-my-website-1854888.html,1 day left,$367,2 entries,
David Gonzalez - For Sale Sign,https://www.freelancer.com/contest/david-gonzalez-for-sale-sign-1855420.html,6 days left,$15,2 entries,
"Acceleration, Incubation, Seed Funding",https://www.freelancer.com/projects/php/acceleration-incubation-seed-funding/,7 hours left,$21 / hr,2 bids,
Build uncertainty budget,https://www.freelancer.com/projects/excel/build-uncertainty-budget/,22 hours left,$15 / hr,2 bids,
Expert in Prolog -- 2,https://www.freelancer.com/projects/prolog/expert-prolog-28286406/,8 hours left,$62,2 bids,VERIFIED
I need good communicator who sales products,https://www.freelancer.com/projects/sales/need-good-communicator-who-sales/,1 day left,$105,2 bids,
multivariate statistics - R language expert.....,https://www.freelancer.com/projects/statistics/multivariate-statistics-language-expert-28255332/,4 days left,$22 - $37,2 bids,
Need a Person to find glitch in a social app,https://www.freelancer.com/projects/network-security/need-person-find-glitch-social/,11 hours left,$15,2 bids,
I need a java expert for taking online class,https://www.freelancer.com/projects/blog-install/need-java-expert-for-taking/,3 days left,$77,2 bids,VERIFIED
Creative Fitness Writers Wanted,https://www.freelancer.com/projects/articles/creative-fitness-writers-wanted-28316852/,2 days left,$6250,2 bids,
I am looking for research on Open SSH -- -- 7:10,https://www.freelancer.com/projects/website-design/looking-for-research-open-ssh-28323783/,10 days left,$10 - $30,2 bids,VERIFIED
"[New Zealand, Wellington] Hiring urine specimen collector for pre-employment drug testing",https://www.freelancer.com/projects/anything-goes/new-zealand-wellington-hiring-urine/,4 days left,$30,2 bids,VERIFIED
setup my google suites accounts,https://www.freelancer.com/projects/google-app-engine/setup-google-suites-accounts/,21 hours left,$30,2 bids,
I want 10 Lakh installs to my app,https://www.freelancer.com/projects/internet-marketing/want-lakh-installs-app/,4 days left,$375,2 bids,
sales of freelancer,https://www.freelancer.com/projects/internet-marketing/sales-freelancer-28361368/,6 days left,$11,2 bids,
armember and/or amember specialist wanted,https://www.freelancer.com/projects/php/armember-amember-specialist-wanted/,6 days left,$25,2 bids,VERIFIED
Fashion designer,https://www.freelancer.com/projects/fashion-design/fashion-designer-28345463/,4 days left,$4722,2 bids,
"Application Installation, Social media marketing and app marchent. -- 2",https://www.freelancer.com/projects/social-media-marketing/application-installation-social-media-28361654/,6 days left,$11,2 bids,
Model rigging for making animation -- 2,https://www.freelancer.com/projects/threed-modelling/model-rigging-for-making-animation-28366130/,6 days left,$290,2 bids,VERIFIED
Build Google Actions with Jovo,https://www.freelancer.com/projects/java/build-google-actions-with-jovo/,5 days left,$136,2 bids,
m student,https://www.freelancer.com/projects/leads/student-28359466/,6 days left,$17 / hr,2 bids,
Need help with setting up AWS HLS Video stream with videojs and signed cookies,https://www.freelancer.com/projects/amazon-web-services/need-help-with-setting-aws/,6 days left,$22,2 bids,VERIFIED
Database Creation,https://www.freelancer.com/projects/microsoft-access/database-creation-28369743/,6 days left,$135,2 bids,
Need to develope personalised whatsapp chat bot,https://www.freelancer.com/projects/software-architecture/need-develope-personalised-whatsapp-chat/,6 days left,$149,2 bids,
Type and digitize handwritten Journals,https://www.freelancer.com/projects/typing/type-digitize-handwritten-journals/,6 days left,$500,2 bids,
Query Resolver,https://www.freelancer.com/projects/php/query-resolver/,9 hours left,$87,2 bids,
Upgrade Tasmota with https and user authentication,https://www.freelancer.com/projects/electronics/upgrade-tasmota-with-https-user/,5 days left,$55,2 bids,VERIFIED
Walmart USA Market Seller Account & transfer owner,https://www.freelancer.com/projects/internet-marketing/walmart-usa-market-seller-account/,1 day left,$15,2 bids,
Affiliate marketing plan for our kickstarter project,https://www.freelancer.com/projects/facebook-marketing/affiliate-marketing-plan-for-our/,6 hours left,$10,2 bids,VERIFIED
looking for a talent Ionic/Cordova Developer,https://www.freelancer.com/projects/mobile-phone/looking-for-talent-ionic-cordova/,1 day left,$42,2 bids,VERIFIED
Perfex crm,https://www.freelancer.com/projects/crm/perfex-crm-28311991/,2 days left,$121,2 bids,
Want to build a web-app and mobile-app Dashboard for tracking stock market,https://www.freelancer.com/projects/php/want-build-web-app-mobile/,3 hours left,$15,2 bids,VERIFIED
kdb+ and Q language developer,https://www.freelancer.com/projects/programming/kdb-language-developer/,8 hours left,$50 / hr,2 bids,
Invision Community Plugin (Clubs Extension),https://www.freelancer.com/projects/php/invision-community-plugin-clubs/,5 days left,$104,2 bids,
A simple raspberry pi project that demonstrates the use of both high and low temperature modules to control a 120VAC device,https://www.freelancer.com/projects/electronics/simple-raspberry-project-that/,5 days left,$20,2 bids,VERIFIED
AWS CDK Expert Needed,https://www.freelancer.com/projects/amazon-web-services/aws-cdk-expert-needed/,3 days left,$55,2 bids,VERIFIED
string argument without encoding error flask sqlalchemy mysql,https://www.freelancer.com/projects/python/string-argument-without-encoding-error/,5 days left,$10,2 bids,
Processing Sketch,https://www.freelancer.com/projects/java/processing-sketch-28354542/,5 days left,$10 / hr,2 bids,VERIFIED
Automatic trading on binance futures (Freqtrade),https://www.freelancer.com/projects/software-development/automatic-trading-binance-futures/,3 days left,$289,2 bids,
Adobe experience manager trainer,https://www.freelancer.com/projects/adobe-experience-manager/adobe-experience-manager-trainer/,7 hours left,$14 / hr,2 bids,
Supreme Expert,https://www.freelancer.com/projects/nodejs/supreme-expert/,6 days left,$16,2 bids,VERIFIED
Instagram List page Like a Twitter Tweet List,https://www.freelancer.com/projects/software-architecture/instagram-list-page-like-twitter/,4 days left,$1375,2 bids,
Analysis of abnormalities in Induction Motor (IM) under voltage sags -- 2,https://www.freelancer.com/projects/matlab-mathematica/analysis-abnormalities-induction-motor-28302960/,1 day left,$25,2 bids,
google chrome developer,https://www.freelancer.com/projects/google-chrome/google-chrome-developer-28289372/,13 hours left,$125,2 bids,
MARKETING EXECUTIVE,https://www.freelancer.com/projects/communications/marketing-executive-28310381/,2 days left,$178,2 bids,VERIFIED
VPN Application for Windows,https://www.freelancer.com/projects/app-developer/vpn-application-for-windows/,2 days left,$265,2 bids,
Change voice mail password from LG iPECS,https://www.freelancer.com/projects/phone-support/change-voice-mail-password-from/,2 days left,$65,2 bids,VERIFIED
I am looking for research on Open SSH -- -- 6:59,https://www.freelancer.com/projects/website-design/looking-for-research-open-ssh-28323685/,17 days left,$10 - $30,2 bids,VERIFIED
azure devveloper,https://www.freelancer.com/projects/blog-install/azure-devveloper/,4 days left,$73,2 bids,
Remote Administration Tool,https://www.freelancer.com/projects/coding/remote-administration-tool/,4 days left,$750 - $1500,2 bids,
learning job,https://www.freelancer.com/projects/mobile-phone/learning-job/,5 days left,$1 / hr,2 bids,
"App para dispositivos linux, android y webOS (TV application development)",https://www.freelancer.com/projects/android/app-para-dispositivos-linux-android/,17 hours left,$225,2 bids,VERIFIED
Webots consulting,https://www.freelancer.com/projects/python/webots-consulting/,5 days left,$21 / hr,2 bids,
I want to sꬴll my app having 10K install and $1 daily revenue,https://www.freelancer.com/projects/anything-goes/want-app-having-install-daily/,4 days left,$338,2 bids,VERIFIED
"Aws cloud, Docker, Kubernetes, Terraform, Cl/CD, Python, Bash, Ansible Experts with 10+ years EXP",https://www.freelancer.com/projects/docker/aws-cloud-docker-kubernetes-terraform/,6 days left,$506,2 bids,VERIFIED
Simple backend Python programming for Image detection.,https://www.freelancer.com/contest/simple-backend-python-programming-for-image-detection-1854182.html,7 hours left,$71,2 entries,
CREATE A CODE FOR CIRCLE PACKING ALGORITHM,https://www.freelancer.com/projects/algorithm-analysis/create-code-for-circle-packing/,4 hours left,$456,2 bids,
SAP TRM change GL account determination,https://www.freelancer.com/projects/sap/sap-trm-change-account-determination/,6 days left,$16 / hr,2 bids,VERIFIED
finance ai,https://www.freelancer.com/projects/ai-hw-sw/finance/,1 day left,$2 / hr,2 bids,VERIFIED
Xamarin Editors,https://www.freelancer.com/projects/xamarin/xamarin-editors/,1 day left,$114,2 bids,
